,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
28,, 300 ml             ,Tarczyn, 300 ml             ,napoje,"sok pomarańczowy odtworzony z zagęszczonego soku pomarańczowego, cukier do korekcji kwaśnego smaku.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/237.png'],,,,Swiadome zakupy,,pomarańcza 300ml,"http://www.swiadomezakupy.pl/products/view/245
",
29,, 2 l             ,Garden, 2 l             ,napoje,"woda, soki odtworzone z zagęszczonych soków z: ananasów (11,3%), 
pomarańczy (8,7%), syrop glukozowo-fruktozowy, kwas cytrynowy 
i cytrynian trisodowy - regulatory kwasowości, witamina C - 
przeciwutleniacz, B-karoten - barwnik, aromaty, substancje słodzące: 
E-950, E-952 i E-954.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/231.png'],,,,Swiadome zakupy,,pomarańcza ananas 2L,"http://www.swiadomezakupy.pl/products/view/239
",
30,, 200 ml             ,Garden, 200 ml             ,napoje,"woda, soki odtworzone z soków zagęszczonych z: jabłek (15%) i brzoskwiń 
(5%), cukier i/lub syrop glukozowo-fruktozowy, sucraloza - substancja 
słodząca, kwas  cytrynowy i cytrynian trisodowy - regulatory kwasowości,
 kwas askorbinowy - przeciwutleniacz, ß-karoten - barwnik, aromaty.							","{'nutritional': '', 'package': ' karton \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/226.png'],,,,Swiadome zakupy,,jabłko - brzoskwinia 200ml,"http://www.swiadomezakupy.pl/products/view/234
",
31, 5900541000406, 500 ml             ,Żywiec Zdrój, 500 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3414.jpg'],,,,Swiadome zakupy,,ŻYWIEC ZDRÓJ Napój niegazowany o smaku cytrynowym,"http://www.swiadomezakupy.pl/products/view/3386
",
32, 5901115000464, 500 ml             ,Kryniczanka, 500 ml             ,napoje,"Kryniczanka, dzięki bardzo dużej zawartości wapnia, proponowana jest jako woda wzmacniającą układ kostny (zapobieganie osteoporozie, wpływanie na prawidłową krzepliwość krwi i uszczelnianie naczyń krwionośnych, w stanach uczuleniowych) rekonwalescentom po urazach i złamaniach, osobom starszym jak również czynnie uprawiającym sport. Zalecana w profilaktyce zdrowotnej.							","{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5476.jpg'],,,,Swiadome zakupy,,Naturalna woda mineralna gazowana ,"http://www.swiadomezakupy.pl/products/view/5423
",
33,, 300 ml             ,Włocławek, 300 ml             ,napoje,"sok z soku zagęszczonego oraz przecier z pomidorów, sól, kwas askorbinowy - przeciwutleniacz.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/430.png'],,,,Swiadome zakupy,,sok pomidorowy 300ml,"http://www.swiadomezakupy.pl/products/view/440
",
34, 5903263527121, 1 l             ,MIX Kwidzyn, 1 l             ,napoje,<strong>Sok jabłkowy</strong>,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/1492.png'],,,,Swiadome zakupy,,Sok jabłkowy,"http://www.swiadomezakupy.pl/products/view/1491
",
35,  5900635001111," 1,5 l             ",Nałęczowianka," 1,5 l             ",napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/5480.jpg'],,,,Swiadome zakupy,,Naturalna woda mineralna delikatnie gazowana ,"http://www.swiadomezakupy.pl/products/view/5427
",
36, 5449000006271, 1 l             ,Coca Cola, 1 l             ,napoje,"Skład: Woda, A-cukier i/lub B-syrop glukozowo-fruktozowy (patrz kod na 
spodzie puszki) lub (patrz kod na szyjce butelki lub  na etykiecie), sok
 pomarańczowy z soku zagęszczonego (3%), ekstrakt pomarańczowy, 
dwutlenek węgla, regulator kwasowości kwas cytrynowy, aromaty, 
przeciwutleniacz kwas askorbinowy, stabilizator guma guar, barwnik 
mieszanina karotenów. Bez dodatku substancji konserwujących.","{'nutritional': '\n                        Każda porcja 250 ml zawiera 113 kcal, 6 % GDA*\n                      , ', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}","['http://www.swiadomezakupy.pl/uploads/products/940/1602.jpg', 'http://www.swiadomezakupy.pl/uploads/products/940/1601.jpg']",,,,Swiadome zakupy,,Fanta Pomarańczowa Napój gazowany ,"http://www.swiadomezakupy.pl/products/view/1586
",
37, 5900334005991, 1 l             ,Tymbark, 1 l             ,napoje,<b>Opis:</b>,"{'nutritional': '', 'package': ' karton \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/2924.jpg'],,,,Swiadome zakupy,,Sok 100% pomarańcza z miąższem,"http://www.swiadomezakupy.pl/products/view/2901
",
38,, 900 ml             ,Pysio, 900 ml             ,napoje,"soki odtworzone z soków zagęszczonych i przeciery z: marchwi (35%), 
jabłek (5%), brzoskwiń (4%), woda, syrop glukozowo-fruktozowy, kwas 
cytrynowy i kwas jabłkowy - regulatory kwasowości, witamina C - 
substancja wzbogacająca, aromaty.							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/263.png'],,,,Swiadome zakupy,,marchew - jabłko - brzoskwinia 900ml,"http://www.swiadomezakupy.pl/products/view/272
",
39, 5900541000079, 500 ml             ,Żywiec Zdrój, 500 ml             ,napoje, ,"{'nutritional': '', 'package': ' butelka z tworzywa sztucznego \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3408.jpg'],,,,Swiadome zakupy,,ŻYWIEC ZDRÓJ Naturalna woda źródlana gazowana,"http://www.swiadomezakupy.pl/products/view/3380
",
40, 4038375024419, 1 l             ,Natumi, 1 l             ,napoje,"<div class=""ingredients""><h4>Składniki</h4><div>woda, pełne ziarno owsa, olej słonecznikowy, sól morska, ekstrakt z naturalnej wanilii</div></div>","{'nutritional': '', 'package': ' karton \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4814.jpg'],,,,Swiadome zakupy,,Hafer vanilla Napój Owsiano-Waniliowy BIO ,"http://www.swiadomezakupy.pl/products/view/4775
",
41, 5900956100654, 420 ml             ,Herbapol, 420 ml             ,napoje,"<div class=""ingredients""><h4>Składniki</h4><div>cukier, woda, owoc róży,
 kwas cytrynowy - regulator kwasowości, zagęszczony sok aroniowy, 
zagęszczony sok z dzikiej róży, aromat, witamina C - substancja 
wzbogacająca</div></div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4559.jpg'],,,,Swiadome zakupy,,Syrop dzika róża ,"http://www.swiadomezakupy.pl/products/view/4522
",
