,EAN,amount,brand,capacity,category,description,extras,image_url,ingredients,origin,price,seller,storage,title,url,weight
26,, 500 ml             ,Amber, 500 ml             ,alkohol,"<table align=""left"" border=""1"" cellpadding=""1"" cellspacing=""1""><tbody><tr><td><span style=""font-family: Verdana;"">Składniki</span></td>
<td><span style=""font-family: Verdana;"">woda,  słody jasne i ciemne, chmiel aromatyczny<br/>
            i goryczkowy</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Metoda warzenia</span></td>
<td><span style=""font-family: Verdana;"">tradycyjna, dolna fermentacja</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Pasteryzacja</span></td>
<td><span style=""font-family: Verdana;"">tak</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Styl</span></td>
<td><span style=""font-family: Verdana;"">porter bałtycki</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Kolor</span></td>
<td><span style=""font-family: Verdana;"">czarny</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Termin przydatności do spożycia      </span></td>
<td><span style=""font-family: Verdana;"">180 dni</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Ekstrakt</span></td>
<td><span style=""font-family: Verdana;"">18,1%</span></td>
</tr>
<tr>
<td><span style=""font-family: Verdana;"">Zawartość alkoholu</span></td>
<td><span style=""font-family: Verdana;"">8%</span></td></tr></tbody></table>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/583.jpg'],,,,Swiadome zakupy,,Piwo Grand,"http://www.swiadomezakupy.pl/products/view/598
",
27,," 0,75 l             ",Bułgaria," 0,75 l             ",alkohol,"<div class=""offer_data"">
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Smak:półsłodkie/czerwone
            </div></div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Zawartość alkoholu:11%
            </div></div>
</div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1292.jpg'],,,,Swiadome zakupy,,wino Bulgarius- czerwone półsłodkie,"http://www.swiadomezakupy.pl/products/view/1283
",
28,," 0,5 l             ",Ciechan," 0,5 l             ",alkohol,Krzepiak jest bezalkoholowym napojem słodowym na bazie brzeczki piwnej							,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1481.png'],,,,Swiadome zakupy,,Piwo KRZEPIAK,"http://www.swiadomezakupy.pl/products/view/1480
",
29, 5907506252085," 0,5 l             ",Browar Zamkowy," 0,5 l             ",alkohol,zaw. alk. 5%,"{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3118.jpg'],,,,Swiadome zakupy,,Piwo Raciborskie miodowe,"http://www.swiadomezakupy.pl/products/view/3086
",
30,," 0,5 l             ",Krajan," 0,5 l             ",alkohol,"Ciemne, mocne piwo o ekstrakcie wagowym 18,1 Blg i alc. 9% obj. o delikatnym posmaku miodu, 							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1457.png'],,,,Swiadome zakupy,,Piwo Porter Miodowy,"http://www.swiadomezakupy.pl/products/view/1455
",
31,, 1 l             ,Jantoń, 1 l             ,alkohol,"<div class=""offer_data"">
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Smak: </div>
<div class=""ofer_data_value"">brzoskwinia/białe</div>
</div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Zawartość alkoholu: </div>
<div class=""ofer_data_value"">12%</div>
</div>
<div class=""offer_data_item"">
<div class=""ofer_data_name"">Pojemności: </div>
<div class=""ofer_data_value"">
                    1                 </div>
</div>
</div>","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1302.jpg'],,,,Swiadome zakupy,,wino Tiero Białe / Brzoskwinia ,"http://www.swiadomezakupy.pl/products/view/1294
",
32,," 0,5 l             ",Krajan," 0,5 l             ",alkohol,"Jasne, mocne piwa o wysokim ekstrakcie wagowym 14,1º Blg i alc. 6% obj							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0                  '}",['http://www.swiadomezakupy.pl/uploads/products/940/1464.png'],,,,Swiadome zakupy,,Piwo Kujawskie Mocne ,"http://www.swiadomezakupy.pl/products/view/1462
",
33, 5903538900628," 0,5 l             ",Browar Łomża," 0,5 l             ",alkohol,"Zaw. alkoholu 5,7%							","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/3105.jpg'],,,,Swiadome zakupy,,Piwo łomża Export,"http://www.swiadomezakupy.pl/products/view/3073
",
34, 5000267024400, 500 ml             ,JOHNNIE WALKER, 500 ml             ,alkohol,"Ponad 40 składających się na nią gatunków whisky, z których najmłodsza dojrzewała przynajmniej 12 lat,","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4225.jpg'],,,,Swiadome zakupy,,Black Label Blend Szkocka whisky,"http://www.swiadomezakupy.pl/products/view/4198
",
35, 7501145269107, 700 ml             ,EL JIMADOR, 700 ml             ,alkohol,"Tequila El Jimador to wysokiej jakości, oryginalna tequila wytwarzana w 
100% z agawy.  Ma łagodny i idealnie zbalansowany smak, który łatwo polubić.","{'nutritional': '', 'package': ' butelka szklana \xa0\xa0          '}",['http://www.swiadomezakupy.pl/uploads/products/940/4536.jpg'],,,,Swiadome zakupy,,Reposado Tequila ,"http://www.swiadomezakupy.pl/products/view/4505
",
